UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19273320     RESP   2178 
     19273328     RESP   2120 
     19273336     RESP   2077 
     19273344     RESP   2077 
     19273352     RESP   2019 
     19273360     RESP   1917 
     19273368     RESP   1859 
     19273376     RESP   1801 
     19273384     RESP   1743 
     19273392     RESP   1743 
     19273400     RESP   1729 
     19273408     RESP   1700 
     19273416     RESP   1642 
     19273424     RESP   1598 
     19273432     RESP   1511 
     19273440     RESP   1439 
     19273448     RESP   1352 
     19273456     RESP   1308 
     19273464     RESP   1236 
     19273472     RESP   1178 
     19273480     RESP   1149 
     19273488     RESP   1091 
     19273496     RESP   1062 
     19273504     RESP   1004 
     19273512     RESP    975 
     19273520     RESP    931 
     19273528     RESP    888 
     19273536     RESP    873 
     19273544     RESP    815 
     19273552     RESP    786 
     19273560     RESP    743 
     19273568     RESP    728 
     19273576     RESP    714 
     19273584     RESP    685 
     19273592     RESP    699 
     19273600     RESP    685 
     19273608     RESP    627 
     19273616     RESP    540 
     19273624     RESP    482 
     19273632     RESP    496 
     19273640     RESP    569 
     19273648     RESP    612 
     19273656     RESP    641 
     19273664     RESP    699 
     19273672     RESP    728 
     19273680     RESP    685 
     19273688     RESP    656 
     19273696     RESP    598 
     19273704     RESP    554 
     19273712     RESP    540 
     19273720     RESP    554 
     19273728     RESP    540 
     19273736     RESP    496 
     19273744     RESP    525 
     19273752     RESP    540 
     19273760     RESP    569 
     19273768     RESP    598 
     19273776     RESP    656 
     19273784     RESP    699 
     19273792     RESP    714 
     19273800     RESP    757 
     19273808     RESP    786 
     19273816     RESP    786 
     19273824     RESP    786 
     19273832     RESP    801 
     19273840     RESP    844 
     19273848     RESP    859 
     19273856     RESP    888 
     19273864     RESP    931 
     19273872     RESP    946 
     19273880     RESP    989 
     19273888     RESP   1033 
     19273896     RESP   1062 
     19273904     RESP   1076 
     19273912     RESP   1105 
     19273920     RESP   1120 
     19273928     RESP   1134 
     19273936     RESP   1178 
     19273944     RESP   1221 
     19273952     RESP   1236 
     19273960     RESP   1236 
     19273968     RESP   1294 
     19273976     RESP   1337 
     19273984     RESP   1352 
     19273992     RESP   1439 
     19274000     RESP   1453 
     19274008     RESP   1337 
     19274016     RESP   1207 
     19274024     RESP   1163 
     19274032     RESP   1192 
     19274040     RESP   1279 
     19274048     RESP   1424 
     19274056     RESP   1598 
     19274064     RESP   1743 
     19274072     RESP   1830 
     19274080     RESP   1888 
     19274088     RESP   1874 
     19274096     RESP   1859 
     19274104     RESP   1917 
     19274112     RESP   1961 
     19274120     RESP   1961 
     19274128     RESP   1975 
     19274136     RESP   2062 
     19274144     RESP   2120 
     19274152     RESP   2178 
     19274160     RESP   2294 
     19274168     RESP   2352 
     19274176     RESP   2410 
     19274184     RESP   2439 
     19274192     RESP   2425 
     19274200     RESP   2410 
     19274208     RESP   2396 
     19274216     RESP   2352 
     19274224     RESP   2309 
     19274232     RESP   2280 
     19274240     RESP   2294 
     19274248     RESP   2280 
     19274256     RESP   2323 
     19274264     RESP   2338 
     19274272     RESP   2323 
     19274280     RESP   2338 
     19274288     RESP   2352 
     19274296     RESP   2367 
     19274304     RESP   2338 
     19274312     RESP   2352 
     19274320     RESP   2323 
     19274328     RESP   2265 
     19274336     RESP   2236 
     19274344     RESP   2251 
     19274352     RESP   2265 
     19274360     RESP   2265 
     19274368     RESP   2280 
     19274376     RESP   2251 
     19274384     RESP   2178 
     19274392     RESP   2135 
     19274400     RESP   2120 
     19274408     RESP   2164 
     19274416     RESP   2236 
     19274424     RESP   2236 
     19274432     RESP   2294 
     19274440     RESP   2280 
     19274448     RESP   2280 
     19274456     RESP   2251 
     19274464     RESP   2164 
     19274472     RESP   2091 
     19274480     RESP   2077 
     19274488     RESP   2077 
     19274496     RESP   1990 
     19274504     RESP   1917 
     19274512     RESP   1859 
     19274520     RESP   1801 
     19274528     RESP   1772 
     19274536     RESP   1743 
     19274544     RESP   1700 
     19274552     RESP   1627 
     19274560     RESP   1584 
     19274568     RESP   1540 
     19274576     RESP   1424 
     19274584     RESP   1323 
     19274592     RESP   1250 
     19274600     RESP   1178 
     19274608     RESP   1105 
     19274616     RESP   1062 
     19274624     RESP   1018 
     19274632     RESP    902 
     19274640     RESP    859 
     19274648     RESP    801 
     19274656     RESP    772 
     19274664     RESP    699 
     19274672     RESP    656 
     19274680     RESP    612 
     19274688     RESP    554 
     19274696     RESP    569 
     19274704     RESP    583 
     19274712     RESP    554 
     19274720     RESP    554 
     19274728     RESP    554 
     19274736     RESP    467 
     19274744     RESP    380 
     19274752     RESP    337 
     19274760     RESP    337 
     19274768     RESP    395 
     19274776     RESP    453 
     19274784     RESP    554 
     19274792     RESP    612 
     19274800     RESP    627 
     19274808     RESP    656 
     19274816     RESP    612 
     19274824     RESP    554 
     19274832     RESP    525 
     19274840     RESP    554 
     19274848     RESP    540 
     19274856     RESP    482 
     19274864     RESP    540 
     19274872     RESP    569 
     19274880     RESP    598 
     19274888     RESP    656 
     19274896     RESP    743 
     19274904     RESP    772 
     19274912     RESP    786 
     19274920     RESP    844 
     19274928     RESP    844 
     19274936     RESP    844 
     19274944     RESP    873 
     19274952     RESP    902 
     19274960     RESP    902 
     19274968     RESP    917 
     19274976     RESP    975 
     19274984     RESP    989 
     19274992     RESP   1004 
     19275000     RESP   1047 
     19275008     RESP   1062 
     19275016     RESP   1076 
     19275024     RESP   1062 
     19275032     RESP   1105 
     19275040     RESP   1120 
     19275048     RESP   1163 
     19275056     RESP   1192 
     19275064     RESP   1192 
     19275072     RESP   1221 
     19275080     RESP   1250 
     19275088     RESP   1279 
     19275096     RESP   1352 
     19275104     RESP   1424 
     19275112     RESP   1381 
     19275120     RESP   1265 
     19275128     RESP   1178 
     19275136     RESP   1192 
     19275144     RESP   1279 
     19275152     RESP   1424 
     19275160     RESP   1569 
     19275168     RESP   1743 
     19275176     RESP   1830 
     19275184     RESP   1888 
     19275192     RESP   1874 
     19275200     RESP   1859 
     19275208     RESP   1859 
     19275216     RESP   1917 
     19275224     RESP   1946 
     19275232     RESP   1917 
     19275240     RESP   1975 
     19275248     RESP   2033 
     19275256     RESP   2091 
     19275264     RESP   2149 
     19275272     RESP   2236 
     19275280     RESP   2294 
     19275288     RESP   2309 
     19275296     RESP   2338 
     19275304     RESP   2338 
     19275312     RESP   2309 
     19275320     RESP   2265 
     19275328     RESP   2251 
     19275336     RESP   2265 
     19275344     RESP   2222 
     19275352     RESP   2251 
     19275360     RESP   2294 
     19275368     RESP   2265 
     19275376     RESP   2251 
     19275384     RESP   2294 
     19275392     RESP   2280 
     19275400     RESP   2251 
     19275408     RESP   2251 
     19275416     RESP   2236 
     19275424     RESP   2207 
     19275432     RESP   2193 
     19275440     RESP   2222 
     19275448     RESP   2222 
     19275456     RESP   2193 
     19275464     RESP   2178 
     19275472     RESP   2135 
     19275480     RESP   2164 
     19275488     RESP   2178 
     19275496     RESP   2207 
     19275504     RESP   2193 
     19275512     RESP   2135 
     19275520     RESP   2091 
     19275528     RESP   2019 
     19275536     RESP   2033 
     19275544     RESP   2120 
     19275552     RESP   2193 
     19275560     RESP   2222 
     19275568     RESP   2251 
     19275576     RESP   2236 
     19275584     RESP   2207 
     19275592     RESP   2120 
     19275600     RESP   2062 
     19275608     RESP   2004 
     19275616     RESP   1946 
     19275624     RESP   1888 
     19275632     RESP   1830 
     19275640     RESP   1729 
     19275648     RESP   1642 
     19275656     RESP   1613 
     19275664     RESP   1584 
     19275672     RESP   1540 
     19275680     RESP   1497 
     19275688     RESP   1468 
     19275696     RESP   1395 
     19275704     RESP   1308 
     19275712     RESP   1236 
     19275720     RESP   1149 
     19275728     RESP   1076 
     19275736     RESP    989 
     19275744     RESP    960 
     19275752     RESP    888 
     19275760     RESP    801 
     19275768     RESP    801 
     19275776     RESP    757 
     19275784     RESP    699 
     19275792     RESP    699 
     19275800     RESP    685 
     19275808     RESP    641 
     19275816     RESP    598 
     19275824     RESP    598 
     19275832     RESP    540 
     19275840     RESP    496 
     19275848     RESP    482 
     19275856     RESP    540 
     19275864     RESP    554 
     19275872     RESP    569 
     19275880     RESP    641 
     19275888     RESP    569 
     19275896     RESP    496 
     19275904     RESP    409 
     19275912     RESP    409 
     19275920     RESP    482 
     19275928     RESP    554 
     19275936     RESP    670 
     19275944     RESP    728 
     19275952     RESP    772 
     19275960     RESP    757 
     19275968     RESP    743 
     19275976     RESP    699 
     19275984     RESP    670 
     19275992     RESP    699 
     19276000     RESP    699 
     19276008     RESP    699 
     19276016     RESP    699 
     19276024     RESP    728 
     19276032     RESP    728 
     19276040     RESP    786 
     19276048     RESP    844 
     19276056     RESP    859 
     19276064     RESP    902 
     19276072     RESP    931 
     19276080     RESP    931 
     19276088     RESP    946 
     19276096     RESP    960 
     19276104     RESP    960 
     19276112     RESP    960 
     19276120     RESP   1018 
     19276128     RESP   1047 
     19276136     RESP   1047 
     19276144     RESP   1076 
     19276152     RESP   1120 
     19276160     RESP   1105 
     19276168     RESP   1105 
     19276176     RESP   1120 
     19276184     RESP   1149 
     19276192     RESP   1163 
     19276200     RESP   1192 
     19276208     RESP   1221 
     19276216     RESP   1250 
     19276224     RESP   1236 
     19276232     RESP   1236 
     19276240     RESP   1294 
     19276248     RESP   1294 
     19276256     RESP   1352 
     19276264     RESP   1439 
     19276272     RESP   1511 
     19276280     RESP   1424 
     19276288     RESP   1337 
     19276296     RESP   1265 
     19276304     RESP   1265 
     19276312     RESP   1395 
     19276320     RESP   1526 
     19276328     RESP   1700 
