UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19271860     PULS   2969 
     19271862     PULS   2921 
     19271864     PULS   2873 
     19271866     PULS   2825 
     19271868     PULS   2778 
     19271870     PULS   2731 
     19271872     PULS   2685 
     19271874     PULS   2640 
     19271876     PULS   2595 
     19271878     PULS   2552 
     19271880     PULS   2511 
     19271882     PULS   2470 
     19271884     PULS   2432 
     19271886     PULS   2395 
     19271888     PULS   2361 
     19271890     PULS   2329 
     19271892     PULS   2299 
     19271894     PULS   2271 
     19271896     PULS   2247 
     19271898     PULS   2224 
     19271900     PULS   2205 
     19271902     PULS   2187 
     19271904     PULS   2172 
     19271906     PULS   2159 
     19271908     PULS   2148 
     19271910     PULS   2138 
     19271912     PULS   2131 
     19271914     PULS   2125 
     19271916     PULS   2119 
     19271918     PULS   2114 
     19271920     PULS   2110 
     19271922     PULS   2107 
     19271924     PULS   2103 
     19271926     PULS   2100 
     19271928     PULS   2096 
     19271930     PULS   2092 
     19271932     PULS   2087 
     19271934     PULS   2082 
     19271936     PULS   2076 
     19271938     PULS   2068 
     19271940     PULS   2060 
     19271942     PULS   2051 
     19271944     PULS   2041 
     19271946     PULS   2030 
     19271948     PULS   2018 
     19271950     PULS   2004 
     19271952     PULS   1990 
     19271954     PULS   1975 
     19271956     PULS   1958 
     19271958     PULS   1941 
     19271960     PULS   1923 
     19271962     PULS   1903 
     19271964     PULS   1883 
     19271966     PULS   1862 
     19271968     PULS   1841 
     19271970     PULS   1818 
     19271972     PULS   1796 
     19271974     PULS   1773 
     19271976     PULS   1750 
     19271978     PULS   1726 
     19271980     PULS   1703 
     19271982     PULS   1680 
     19271984     PULS   1657 
     19271986     PULS   1634 
     19271988     PULS   1611 
     19271990     PULS   1589 
     19271992     PULS   1567 
     19271994     PULS   1546 
     19271996     PULS   1525 
     19271998     PULS   1505 
     19272000     PULS   1486 
     19272002     PULS   1467 
     19272004     PULS   1449 
     19272006     PULS   1431 
     19272008     PULS   1414 
     19272010     PULS   1398 
     19272012     PULS   1383 
     19272014     PULS   1368 
     19272016     PULS   1355 
