UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 84
NumVolumes  = 195

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS
     2      34         19285228         19285246
     2      62         19285228         19285246
     2      19         19285256         19285274
     2      47         19285256         19285274
     2      75         19285256         19285274
     2       4         19285285         19285303
     2      32         19285285         19285303
     2      60         19285285         19285303
     2      17         19285313         19285331
     2      45         19285313         19285331
     2      73         19285313         19285331
     2       2         19285341         19285359
     2      30         19285341         19285359
     2      58         19285341         19285359
     2      15         19285370         19285388
     2      43         19285370         19285388
     2      71         19285370         19285388
     3       0         19285406         19285424
     3      28         19285406         19285424
     3      56         19285406         19285424
     3      13         19285434         19285452
     3      41         19285434         19285452
     3      69         19285434         19285452
     3      26         19285463         19285480
     3      54         19285463         19285480
     3      82         19285463         19285480
     3      11         19285491         19285509
     3      39         19285491         19285509
     3      67         19285491         19285509
     3      24         19285519         19285537
     3      52         19285519         19285537
     3      80         19285519         19285537
     3       9         19285547         19285565
     3      37         19285547         19285565
     3      65         19285547         19285565
     3      22         19285576         19285594
     3      50         19285576         19285594
     3      78         19285576         19285594
     3       7         19285604         19285622
     3      35         19285604         19285622
     3      63         19285604         19285622
     3      20         19285632         19285650
     3      48         19285632         19285650
     3      76         19285632         19285650
     3       5         19285661         19285678
     3      33         19285661         19285678
     3      61         19285661         19285678
     3      18         19285689         19285707
     3      46         19285689         19285707
     3      74         19285689         19285707
     3       3         19285717         19285735
     3      31         19285717         19285735
     3      59         19285717         19285735
     3      16         19285745         19285763
     3      44         19285745         19285763
     3      72         19285745         19285763
     3       1         19285774         19285792
     3      29         19285774         19285792
     3      57         19285774         19285792
     3      14         19285802         19285820
     3      42         19285802         19285820
     3      70         19285802         19285820
     3      27         19285830         19285848
     3      55         19285830         19285848
     3      83         19285830         19285848
     3      12         19285858         19285876
     3      40         19285858         19285876
     3      68         19285858         19285876
     3      25         19285887         19285905
     3      53         19285887         19285905
     3      81         19285887         19285905
     3      10         19285915         19285933
     3      38         19285915         19285933
     3      66         19285915         19285933
     3      23         19285943         19285961
     3      51         19285943         19285961
     3      79         19285943         19285961
     3       8         19285972         19285990
     3      36         19285972         19285990
     3      64         19285972         19285990
     3      21         19286000         19286018
     3      49         19286000         19286018
     3      77         19286000         19286018
     3       6         19286028         19286046
     3      34         19286028         19286046
     3      62         19286028         19286046
     3      19         19286056         19286074
     3      47         19286056         19286074
     3      75         19286056         19286074
     3       4         19286085         19286103
     3      32         19286085         19286103
     3      60         19286085         19286103
     3      17         19286113         19286131
     3      45         19286113         19286131
     3      73         19286113         19286131
     3       2         19286141         19286159
     3      30         19286141         19286159
     3      58         19286141         19286159
     3      15         19286170         19286188
     3      43         19286170         19286188
     3      71         19286170         19286188
     4       0         19286206         19286224
     4      28         19286206         19286224
     4      56         19286206         19286224
     4      13         19286234         19286252
     4      41         19286234         19286252
     4      69         19286234         19286252
     4      26         19286263         19286280
     4      54         19286263         19286280
     4      82         19286263         19286280
     4      11         19286291         19286309
     4      39         19286291         19286309
     4      67         19286291         19286309
     4      24         19286319         19286337
     4      52         19286319         19286337
     4      80         19286319         19286337
     4       9         19286347         19286365
     4      37         19286347         19286365
     4      65         19286347         19286365
     4      22         19286376         19286394
     4      50         19286376         19286394
     4      78         19286376         19286394
     4       7         19286404         19286422
     4      35         19286404         19286422
     4      63         19286404         19286422
     4      20         19286432         19286450
     4      48         19286432         19286450
     4      76         19286432         19286450
     4       5         19286461         19286478
     4      33         19286461         19286478
     4      61         19286461         19286478
     4      18         19286489         19286507
     4      46         19286489         19286507
     4      74         19286489         19286507
     4       3         19286517         19286535
     4      31         19286517         19286535
     4      59         19286517         19286535
     4      16         19286545         19286563
     4      44         19286545         19286563
     4      72         19286545         19286563
     4       1         19286574         19286592
     4      29         19286574         19286592
     4      57         19286574         19286592
     4      14         19286602         19286620
     4      42         19286602         19286620
     4      70         19286602         19286620
     4      27         19286630         19286648
     4      55         19286630         19286648
     4      83         19286630         19286648
     4      12         19286658         19286676
     4      40         19286658         19286676
     4      68         19286658         19286676
     4      25         19286687         19286705
     4      53         19286687         19286705
     4      81         19286687         19286705
     4      10         19286715         19286733
     4      38         19286715         19286733
     4      66         19286715         19286733
     4      23         19286743         19286761
     4      51         19286743         19286761
     4      79         19286743         19286761
     4       8         19286772         19286790
     4      36         19286772         19286790
     4      64         19286772         19286790
     4      21         19286800         19286818
     4      49         19286800         19286818
     4      77         19286800         19286818
     4       6         19286828         19286846
     4      34         19286828         19286846
     4      62         19286828         19286846
     4      19         19286856         19286874
     4      47         19286856         19286874
     4      75         19286856         19286874
     4       4         19286885         19286903
     4      32         19286885         19286903
     4      60         19286885         19286903
     4      17         19286913         19286931
     4      45         19286913         19286931
     4      73         19286913         19286931
     4       2         19286941         19286959
     4      30         19286941         19286959
     4      58         19286941         19286959
     4      15         19286970         19286988
     4      43         19286970         19286988
     4      71         19286970         19286988
     5       0         19287006         19287024
     5      28         19287006         19287024
     5      56         19287006         19287024
     5      13         19287034         19287052
     5      41         19287034         19287052
     5      69         19287034         19287052
     5      26         19287063         19287080
     5      54         19287063         19287080
     5      82         19287063         19287080
     5      11         19287091         19287109
     5      39         19287091         19287109
     5      67         19287091         19287109
     5      24         19287119         19287137
     5      52         19287119         19287137
     5      80         19287119         19287137
     5       9         19287147         19287165
     5      37         19287147         19287165
     5      65         19287147         19287165
     5      22         19287176         19287194
     5      50         19287176         19287194
     5      78         19287176         19287194
     5       7         19287204         19287222
     5      35         19287204         19287222
     5      63         19287204         19287222
     5      20         19287232         19287250
     5      48         19287232         19287250
     5      76         19287232         19287250
     5       5         19287261         19287278
     5      33         19287261         19287278
     5      61         19287261         19287278
     5      18         19287289         19287307
     5      46         19287289         19287307
     5      74         19287289         19287307
     5       3         19287317         19287335
     5      31         19287317         19287335
     5      59         19287317         19287335
     5      16         19287345         19287363
     5      44         19287345         19287363
     5      72         19287345         19287363
     5       1         19287374         19287392
     5      29         19287374         19287392
     5      57         19287374         19287392
     5      14         19287402         19287420
     5      42         19287402         19287420
     5      70         19287402         19287420
     5      27         19287430         19287448
     5      55         19287430         19287448
     5      83         19287430         19287448
     5      12         19287458         19287476
     5      40         19287458         19287476
     5      68         19287458         19287476
     5      25         19287487         19287505
     5      53         19287487         19287505
     5      81         19287487         19287505
     5      10         19287515         19287533
     5      38         19287515         19287533
     5      66         19287515         19287533
     5      23         19287543         19287561
     5      51         19287543         19287561
     5      79         19287543         19287561
     5       8         19287572         19287590
     5      36         19287572         19287590
     5      64         19287572         19287590
     5      21         19287600         19287618
     5      49         19287600         19287618
     5      77         19287600         19287618
     5       6         19287628         19287646
     5      34         19287628         19287646
     5      62         19287628         19287646
     5      19         19287656         19287674
     5      47         19287656         19287674
     5      75         19287656         19287674
     5       4         19287685         19287703
     5      32         19287685         19287703
     5      60         19287685         19287703
     5      17         19287713         19287731
     5      45         19287713         19287731
     5      73         19287713         19287731
     5       2         19287741         19287759
     5      30         19287741         19287759
     5      58         19287741         19287759
     5      15         19287770         19287788
     5      43         19287770         19287788
     5      71         19287770         19287788
     6       0         19287806         19287824
     6      28         19287806         19287824
     6      56         19287806         19287824
     6      13         19287834         19287852
     6      41         19287834         19287852
     6      69         19287834         19287852
     6      26         19287863         19287880
     6      54         19287863         19287880
     6      82         19287863         19287880
     6      11         19287891         19287909
     6      39         19287891         19287909
     6      67         19287891         19287909
     6      24         19287919         19287937
     6      52         19287919         19287937
     6      80         19287919         19287937
     6       9         19287947         19287965
     6      37         19287947         19287965
     6      65         19287947         19287965
     6      22         19287976         19287994
     6      50         19287976         19287994
     6      78         19287976         19287994
     6       7         19288004         19288022
     6      35         19288004         19288022
     6      63         19288004         19288022
     6      20         19288032         19288050
     6      48         19288032         19288050
     6      76         19288032         19288050
     6       5         19288061         19288078
     6      33         19288061         19288078
     6      61         19288061         19288078
     6      18         19288089         19288107
     6      46         19288089         19288107
     6      74         19288089         19288107
     6       3         19288117         19288135
     6      31         19288117         19288135
     6      59         19288117         19288135
     6      16         19288145         19288163
     6      44         19288145         19288163
     6      72         19288145         19288163
     6       1         19288174         19288192
     6      29         19288174         19288192
     6      57         19288174         19288192
     6      14         19288202         19288220
     6      42         19288202         19288220
     6      70         19288202         19288220
     6      27         19288230         19288248
     6      55         19288230         19288248
     6      83         19288230         19288248
     6      12         19288258         19288276
     6      40         19288258         19288276
     6      68         19288258         19288276
     6      25         19288287         19288305
     6      53         19288287         19288305
     6      81         19288287         19288305
     6      10         19288315         19288333
     6      38         19288315         19288333
     6      66         19288315         19288333
     6      23         19288343         19288361
     6      51         19288343         19288361
     6      79         19288343         19288361
     6       8         19288372         19288390
     6      36         19288372         19288390
     6      64         19288372         19288390
     6      21         19288400         19288418
     6      49         19288400         19288418
     6      77         19288400         19288418
     6       6         19288428         19288446
     6      34         19288428         19288446
     6      62         19288428         19288446
     6      19         19288456         19288474
     6      47         19288456         19288474
     6      75         19288456         19288474
     6       4         19288485         19288503
     6      32         19288485         19288503
     6      60         19288485         19288503
     6      17         19288513         19288531
     6      45         19288513         19288531
     6      73         19288513         19288531
     6       2         19288541         19288559
     6      30         19288541         19288559
     6      58         19288541         19288559
     6      15         19288570         19288588
     6      43         19288570         19288588
     6      71         19288570         19288588
     7       0         19288606         19288624
     7      28         19288606         19288624
     7      56         19288606         19288624
     7      13         19288634         19288652
     7      41         19288634         19288652
     7      69         19288634         19288652
     7      26         19288663         19288680
     7      54         19288663         19288680
     7      82         19288663         19288680
     7      11         19288691         19288709
     7      39         19288691         19288709
     7      67         19288691         19288709
     7      24         19288719         19288737
     7      52         19288719         19288737
     7      80         19288719         19288737
     7       9         19288747         19288765
     7      37         19288747         19288765
     7      65         19288747         19288765
     7      22         19288776         19288794
     7      50         19288776         19288794
     7      78         19288776         19288794
     7       7         19288804         19288822
     7      35         19288804         19288822
     7      63         19288804         19288822
     7      20         19288832         19288850
     7      48         19288832         19288850
     7      76         19288832         19288850
     7       5         19288861         19288878
     7      33         19288861         19288878
     7      61         19288861         19288878
     7      18         19288889         19288907
     7      46         19288889         19288907
     7      74         19288889         19288907
     7       3         19288917         19288935
     7      31         19288917         19288935
     7      59         19288917         19288935
     7      16         19288945         19288963
     7      44         19288945         19288963
     7      72         19288945         19288963
     7       1         19288974         19288992
     7      29         19288974         19288992
     7      57         19288974         19288992
     7      14         19289002         19289020
     7      42         19289002         19289020
     7      70         19289002         19289020
     7      27         19289030         19289048
     7      55         19289030         19289048
     7      83         19289030         19289048
     7      12         19289058         19289076
     7      40         19289058         19289076
     7      68         19289058         19289076
     7      25         19289087         19289105
     7      53         19289087         19289105
     7      81         19289087         19289105
     7      10         19289115         19289133
     7      38         19289115         19289133
     7      66         19289115         19289133
     7      23         19289143         19289161
     7      51         19289143         19289161
     7      79         19289143         19289161
     7       8         19289172         19289190
     7      36         19289172         19289190
     7      64         19289172         19289190
     7      21         19289200         19289218
     7      49         19289200         19289218
     7      77         19289200         19289218
     7       6         19289228         19289246
     7      34         19289228         19289246
     7      62         19289228         19289246
     7      19         19289256         19289274
     7      47         19289256         19289274
     7      75         19289256         19289274
     7       4         19289285         19289303
     7      32         19289285         19289303
     7      60         19289285         19289303
     7      17         19289313         19289331
     7      45         19289313         19289331
     7      73         19289313         19289331
     7       2         19289341         19289359
     7      30         19289341         19289359
     7      58         19289341         19289359
     7      15         19289370         19289388
     7      43         19289370         19289388
     7      71         19289370         19289388
     8       0         19289406         19289424
     8      28         19289406         19289424
     8      56         19289406         19289424
     8      13         19289434         19289452
     8      41         19289434         19289452
     8      69         19289434         19289452
     8      26         19289463         19289480
     8      54         19289463         19289480
     8      82         19289463         19289480
     8      11         19289491         19289509
     8      39         19289491         19289509
     8      67         19289491         19289509
     8      24         19289519         19289537
     8      52         19289519         19289537
     8      80         19289519         19289537
     8       9         19289547         19289565
     8      37         19289547         19289565
     8      65         19289547         19289565
     8      22         19289576         19289594
     8      50         19289576         19289594
     8      78         19289576         19289594
     8       7         19289604         19289622
     8      35         19289604         19289622
     8      63         19289604         19289622
     8      20         19289632         19289650
     8      48         19289632         19289650
     8      76         19289632         19289650
     8       5         19289661         19289678
     8      33         19289661         19289678
     8      61         19289661         19289678
     8      18         19289689         19289707
     8      46         19289689         19289707
     8      74         19289689         19289707
     8       3         19289717         19289735
     8      31         19289717         19289735
     8      59         19289717         19289735
     8      16         19289745         19289763
     8      44         19289745         19289763
     8      72         19289745         19289763
     8       1         19289774         19289792
     8      29         19289774         19289792
     8      57         19289774         19289792
     8      14         19289802         19289820
     8      42         19289802         19289820
     8      70         19289802         19289820
     8      27         19289830         19289848
     8      55         19289830         19289848
     8      83         19289830         19289848
     8      12         19289858         19289876
     8      40         19289858         19289876
     8      68         19289858         19289876
     8      25         19289887         19289905
     8      53         19289887         19289905
     8      81         19289887         19289905
     8      10         19289915         19289933
     8      38         19289915         19289933
     8      66         19289915         19289933
     8      23         19289943         19289961
     8      51         19289943         19289961
     8      79         19289943         19289961
     8       8         19289972         19289990
     8      36         19289972         19289990
     8      64         19289972         19289990
     8      21         19290000         19290018
     8      49         19290000         19290018
     8      77         19290000         19290018
     8       6         19290028         19290046
     8      34         19290028         19290046
     8      62         19290028         19290046
     8      19         19290056         19290074
     8      47         19290056         19290074
     8      75         19290056         19290074
     8       4         19290085         19290103
     8      32         19290085         19290103
     8      60         19290085         19290103
     8      17         19290113         19290131
     8      45         19290113         19290131
     8      73         19290113         19290131
     8       2         19290141         19290159
     8      30         19290141         19290159
     8      58         19290141         19290159
     8      15         19290170         19290188
     8      43         19290170         19290188
     8      71         19290170         19290188
     9       0         19290206         19290224
     9      28         19290206         19290224
     9      56         19290206         19290224
     9      13         19290234         19290252
     9      41         19290234         19290252
     9      69         19290234         19290252
     9      26         19290263         19290280
     9      54         19290263         19290280
     9      82         19290263         19290280
     9      11         19290291         19290309
     9      39         19290291         19290309
     9      67         19290291         19290309
     9      24         19290319         19290337
     9      52         19290319         19290337
     9      80         19290319         19290337
     9       9         19290347         19290365
     9      37         19290347         19290365
     9      65         19290347         19290365
     9      22         19290376         19290394
     9      50         19290376         19290394
     9      78         19290376         19290394
     9       7         19290404         19290422
     9      35         19290404         19290422
     9      63         19290404         19290422
     9      20         19290432         19290450
     9      48         19290432         19290450
     9      76         19290432         19290450
     9       5         19290461         19290478
     9      33         19290461         19290478
     9      61         19290461         19290478
     9      18         19290489         19290507
     9      46         19290489         19290507
     9      74         19290489         19290507
     9       3         19290517         19290535
     9      31         19290517         19290535
     9      59         19290517         19290535
     9      16         19290545         19290563
     9      44         19290545         19290563
     9      72         19290545         19290563
     9       1         19290574         19290592
     9      29         19290574         19290592
     9      57         19290574         19290592
     9      14         19290602         19290620
     9      42         19290602         19290620
     9      70         19290602         19290620
     9      27         19290630         19290648
     9      55         19290630         19290648
     9      83         19290630         19290648
     9      12         19290658         19290676
     9      40         19290658         19290676
     9      68         19290658         19290676
     9      25         19290687         19290705
     9      53         19290687         19290705
     9      81         19290687         19290705
     9      10         19290715         19290733
     9      38         19290715         19290733
     9      66         19290715         19290733
     9      23         19290743         19290761
     9      51         19290743         19290761
     9      79         19290743         19290761
     9       8         19290772         19290790
     9      36         19290772         19290790
     9      64         19290772         19290790
     9      21         19290800         19290818
     9      49         19290800         19290818
     9      77         19290800         19290818
     9       6         19290828         19290846
     9      34         19290828         19290846
     9      62         19290828         19290846
     9      19         19290856         19290874
     9      47         19290856         19290874
     9      75         19290856         19290874
     9       4         19290885         19290903
     9      32         19290885         19290903
     9      60         19290885         19290903
     9      17         19290913         19290931
     9      45         19290913         19290931
     9      73         19290913         19290931
     9       2         19290941         19290959
     9      30         19290941         19290959
     9      58         19290941         19290959
     9      15         19290970         19290988
     9      43         19290970         19290988
     9      71         19290970         19290988
    10       0         19291006         19291024
    10      28         19291006         19291024
    10      56         19291006         19291024
    10      13         19291034         19291052
    10      41         19291034         19291052
    10      69         19291034         19291052
    10      26         19291063         19291080
    10      54         19291063         19291080
    10      82         19291063         19291080
    10      11         19291091         19291109
    10      39         19291091         19291109
    10      67         19291091         19291109
    10      24         19291119         19291137
    10      52         19291119         19291137
    10      80         19291119         19291137
    10       9         19291147         19291165
    10      37         19291147         19291165
    10      65         19291147         19291165
    10      22         19291176         19291194
    10      50         19291176         19291194
    10      78         19291176         19291194
    10       7         19291204         19291222
    10      35         19291204         19291222
    10      63         19291204         19291222
    10      20         19291232         19291250
    10      48         19291232         19291250
    10      76         19291232         19291250
    10       5         19291261         19291278
    10      33         19291261         19291278
    10      61         19291261         19291278
    10      18         19291289         19291307
    10      46         19291289         19291307
    10      74         19291289         19291307
    10       3         19291317         19291335
    10      31         19291317         19291335
    10      59         19291317         19291335
    10      16         19291345         19291363
    10      44         19291345         19291363
    10      72         19291345         19291363
    10       1         19291374         19291392
    10      29         19291374         19291392
    10      57         19291374         19291392
    10      14         19291402         19291420
    10      42         19291402         19291420
    10      70         19291402         19291420
    10      27         19291430         19291448
    10      55         19291430         19291448
    10      83         19291430         19291448
    10      12         19291458         19291476
    10      40         19291458         19291476
    10      68         19291458         19291476
    10      25         19291487         19291505
    10      53         19291487         19291505
    10      81         19291487         19291505
    10      10         19291515         19291533
    10      38         19291515         19291533
    10      66         19291515         19291533
    10      23         19291543         19291561
    10      51         19291543         19291561
    10      79         19291543         19291561
    10       8         19291572         19291590
    10      36         19291572         19291590
    10      64         19291572         19291590
    10      21         19291600         19291618
    10      49         19291600         19291618
    10      77         19291600         19291618
    10       6         19291628         19291646
    10      34         19291628         19291646
    10      62         19291628         19291646
    10      19         19291656         19291674
    10      47         19291656         19291674
    10      75         19291656         19291674
    10       4         19291685         19291703
    10      32         19291685         19291703
    10      60         19291685         19291703
    10      17         19291713         19291731
    10      45         19291713         19291731
    10      73         19291713         19291731
